"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Congo, Dem. Rep.","COD","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","3088011","3181242","3292020","3363384","3429076","3544498","3644578","3789530","3919395","4054758","4195699","4342470","4495346","4654613","4522363","4650756","4156029","4356516","","3429633","4562430","4622758","4870933","4939297","5417506","","","4827679","4022411","","","5455391","","","","","8839888","9973365","10244086","10572422","11082501","12004804","12600876","13534625","13763196","","",
"Congo, Rep.","COG","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","241101","262111","277384","293138","307194","319101","330456","345736","358761","383018","390676","406835","422874","443143","458237","475805","498588","491034","495015","492143","493918","492286","512060","505925","518400","497305","499485","427735","276451","418707","500921","525093","509507","584370","597304","617010","621702","628081","671683","705093","727020","734493","","","","","",
"Colombia","COL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","3286052","3466262","3570446","3733193","3791543","3911244","4058044","4160527","4265598","4337607","4168200","4217800","3930303","3983141","4009423","4039533","4002543","4114954","4160580","4205657","4246658","4310970","4525959","4599132","4648335","4692614","4916934","","5136274","5162260","5221018","5131463","5193055","","5259033","5298257","5296190","5292476","5285523","5299258","5084972","4924346","4742456","4708466","4542644","4479218","4448238","",
"Comoros","COM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","15047","15580","20086","23194","28614","35818","42338","","49940","","59709","","61469","61905","62265","66084","62404","64737","66326","67825","72824","75577","73827","77837","","78527","","85983","82789","93421","","104274","104274","103809","","","104518","111115","","","116564","","120186","120381","","","",
"Cabo Verde","CPV","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","27908","34421","42766","49424","52555","64794","60386","59498","58825","58111","57587","56332","52909","55751","56692","57909","60226","62727","65377","67761","69833","","","78173","","","","91777","92523","91636","90640","89809","87843","85138","82985","81434","78801","76299","73548","71134","69115","67903","67745","67023","65580","64326","",
"Costa Rica","CRI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","349378","356152","365545","373901","367901","361303","365957","367026","359680","353894","348674","348616","342373","343800","350658","362877","380384","393305","409621","422102","435205","453297","471049","484958","495879","507037","518603","525273","529637","569513","551465","552302","545509","","558084","542087","546542","536436","534816","531665","520609","506961","494720","480125","475731","473447","475756","",
"Caribbean small states","CSS","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","1530376","1631187","1733208","1778724","1799857","1795752","1747738","1693942","1626386","1550323","1468538","1409765","1363078","1282989","1174453","1077213","1000971","936914","899936","885576","887737","917889","942431","983459","1007769","1074153","1094868","1081085","1074097","1045578","1006888","971542","925335","906293","895045","889834","883132","871444","868477","852744","828293","803194","772023","763364","745733","","",
"Curacao","CUW","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20812","","","","",
"Cayman Islands","CYM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","1623","1686","1932","1897","1933","2234","2101","2113","2109","2123","","","","","","","","","","","","","","","","","","3231","3435","3549","3579","","3361","3240","3461","3706","3736","","","3985","4033","3950","","","","",
